split,release,clnsig_crudo,n,bucket
train,2023-12,Uncertain_significance,4056,vus
train,2023-12,Likely_benign,2272,negativo
train,2023-12,Benign,568,negativo
train,2023-12,Conflicting_interpretations_of_pathogenicity,410,excluido
train,2023-12,Pathogenic,263,positivo
train,2023-12,Likely_pathogenic,208,positivo
train,2023-12,Benign/Likely_benign,138,negativo
train,2023-12,Pathogenic/Likely_pathogenic,55,positivo
train,2023-12,not_provided,20,excluido
train,2023-12,other,2,excluido
train,2023-12,Likely_risk_allele,2,excluido
train,2023-12,drug_response,1,excluido
train,2023-12,protective|risk_factor,1,excluido
train,2023-12,Affects,1,excluido
test,2025-06,Uncertain_significance,6042,vus
test,2025-06,Likely_benign,3524,negativo
test,2025-06,Benign,752,negativo
test,2025-06,Conflicting_classifications_of_pathogenicity,699,excluido
test,2025-06,Pathogenic,325,positivo
test,2025-06,Likely_pathogenic,285,positivo
test,2025-06,Benign/Likely_benign,228,negativo
test,2025-06,Pathogenic/Likely_pathogenic,107,positivo
test,2025-06,not_provided,24,excluido
test,2025-06,no_classification_for_the_single_variant,4,excluido
test,2025-06,other,2,excluido
test,2025-06,drug_response,1,excluido
test,2025-06,protective|risk_factor,1,excluido
test,2025-06,Likely_risk_allele,1,excluido
test,2025-06,association,1,excluido
test,2025-06,Affects,1,excluido
